index,title,url,site,category,language,course_type,subcategory,intro,duration_seconds,rating
62,Regulatory Compliance Specialization,https://www.coursera.org/specializations/regulatory-compliance,Coursera,business,English,Specialization,business,Learn to create a culture of compliance. Master the strategies for building an effective compliance program to manage risk,576000,4.8
63,"TESOL Certificate, Part 1: Teach English Now! Specialization",https://www.coursera.org/specializations/tesol,Coursera,language learning,English,Specialization,languages,"TESOL Certificate, Part 1: Teach English Now!. Learn theory and the practical strategies of English as a Second Language teaching.",864000,4.9
64,Financial Engineering and Risk Management Specialization,https://www.coursera.org/specializations/financialengineering,Coursera,business,English,Specialization,finance,Advance Your Knowledge in Financial Engineering . Build the fundamentals and technical skills in financial engineering,1008000,4.5
65,UI / UX Design Specialization,https://www.coursera.org/specializations/ui-ux-design,Coursera,arts and humanities,English,Specialization,arts,"Design High-Impact User Experiences. Research, design, and prototype effective, visually-driven websites and apps. ",576000,4.7
66,"Product Ideation, Design, and Management Specialization",https://www.coursera.org/specializations/product-ideation-design-and-management,Coursera,business,English,Specialization,marketing,"Learn to discover, design, and deliver products that customers love.",720000,4.5
67,Financial Analysis - Skills for Success Specialization,https://www.coursera.org/specializations/financial-analysis-skills-for-success,Coursera,business,English,Specialization,finance,Prepare for a career in financial analysis. Gain a wholistic understanding of organizational finance and apply an analytical mindset toward financial statement analysis and organizational decision-making.,432000,4.6
68,Creative Writing Specialization,https://www.coursera.org/specializations/creative-writing,Coursera,arts and humanities,English,Specialization,arts,Craft Your Story Like the Great Writers. Craft an original story that will absorb a reader’s interest from the beginning to end.,864000,4.7
69,Data Structures and Algorithms Specialization,https://www.coursera.org/specializations/data-structures-algorithms,Coursera,computer science,English,Specialization,computer science,"Master Algorithmic Programming Techniques. Advance your Software Engineering or Data Science Career by Learning Algorithms through Programming and Puzzle Solving. Ace coding interviews by implementing each algorithmic challenge in this Specialization. Apply the newly-learned algorithmic techniques to real-life problems, such as analyzing a huge social network or sequencing a genome of a deadly pathogen. ",1152000,4.6
70,Software Product Management Specialization,https://www.coursera.org/specializations/product-management,Coursera,computer science,English,Specialization,design,Create Better Software using Agile Practices. Master Agile development and effective interactions to drive the making of great software products,864000,4.7
71,Foundations of Management Specialization,https://www.coursera.org/specializations/foundations-management,Coursera,business,English,Specialization,leadership and management,Boost Your Career with New Business Knowledge . Master Business Management Fundamentals,864000,4.7
72,Genomic Data Science Specialization,https://www.coursera.org/specializations/genomic-data-science,Coursera,data science,English,Specialization,data analysis,Be a next generation sequencing data scientist.. Master the tools and techniques at the forefront of the sequencing data revolution.,864000,4.4
